#队伍编号,2026141323
#评审时间,2026-06-07 09:53:32
#NTP服务器,ntp.aliyun.com
#NTP已同步,是
#NTP同步时刻,2026-06-07 09:40:21
#随机种子,899156
#总分,31.0
序号,时间(NTP),测试编号,步骤描述,相关参数,下发帧原文,下发帧解析,收回帧原文,收回帧解析,得分,满分,结果
113,2026-06-07 09:50:45.705,H-01,等待5s上报帧(1/10)(字符串),,,,A5B600010203020C026A24CE7400000000000000002908B6A5,A5B600010203020C026A24CE7400000000000000002908B6A5,0.0,0.0,--
114,2026-06-07 09:50:50.662,H-01,等待5s上报帧(2/10),,,,A5B600010203020C026A24CE790000000000000000B950B6A5,"时间=09:50:49, CH0=0.0000, CH1=0.0000",0.0,0.0,--
115,2026-06-07 09:50:50.662,H-01,等待5s上报帧(2/10)(字符串),,,,A5B600010203020C026A24CE790000000000000000B950B6A5,A5B600010203020C026A24CE790000000000000000B950B6A5,0.0,0.0,--
116,2026-06-07 09:50:55.606,H-01,等待5s上报帧(3/10),,,,A5B600010203020C026A24CE7E00000000000000008976B6A5,"时间=09:50:54, CH0=0.0000, CH1=0.0000",0.0,0.0,--
117,2026-06-07 09:50:55.607,H-01,等待5s上报帧(3/10)(字符串),,,,A5B600010203020C026A24CE7E00000000000000008976B6A5,A5B600010203020C026A24CE7E00000000000000008976B6A5,0.0,0.0,--
118,2026-06-07 09:51:00.543,H-01,上报期间发送读ID(预期无应答),,A5B6FFFF010111000201B0B6A5,命令 命令字=0x0111,A5B600010203020C026A24CE8300000000000000001D2AB6A5,"[功能不符] 预期CMD=0x0111, 实收CMD=0x0302; 时间=09:50:59, CH0=0.0000, CH1=0.0000",0.0,0.0,--
119,2026-06-07 09:51:01.964,H-01,上报期间发送读ID(预期无应答)(字符串),,,,A5B600010203020C026A24CE8300000000000000001D2AB6A5,A5B600010203020C026A24CE8300000000000000001D2AB6A5,0.0,0.0,--
120,2026-06-07 09:51:01.964,H-01,上报期间发送读ID(预期无应答),,A5B6FFFF010111000201B0B6A5,命令 命令字=0x0111,,超时无应答,0.0,0.0,--
121,2026-06-07 09:51:01.964,H-01,上报期间读ID验证,,,,,设备未应答(正确),1.0,1.0,通过
122,2026-06-07 09:51:05.489,H-01,等待5s上报帧(4/10),,,,A5B600010203020C026A24CE8800000000000000002D59B6A5,"时间=09:51:04, CH0=0.0000, CH1=0.0000",0.0,0.0,--
123,2026-06-07 09:51:05.489,H-01,等待5s上报帧(4/10)(字符串),,,,A5B600010203020C026A24CE8800000000000000002D59B6A5,A5B600010203020C026A24CE8800000000000000002D59B6A5,0.0,0.0,--
124,2026-06-07 09:51:10.436,H-01,等待5s上报帧(5/10),,,,A5B600010203020C026A24CE8D00000000000000007D66B6A5,"时间=09:51:09, CH0=0.0000, CH1=0.0000",0.0,0.0,--
125,2026-06-07 09:51:10.436,H-01,等待5s上报帧(5/10)(字符串),,,,A5B600010203020C026A24CE8D00000000000000007D66B6A5,A5B600010203020C026A24CE8D00000000000000007D66B6A5,0.0,0.0,--
126,2026-06-07 09:51:15.369,H-01,等待5s上报帧(6/10),,,,A5B600010203020C026A24CE9200000000000000004DEAB6A5,"时间=09:51:14, CH0=0.0000, CH1=0.0000",0.0,0.0,--
